Gene stable ID	Gene name
ENSG00000170345	FOS
ENSG00000175592	FOSL1
ENSG00000075426	FOSL2
ENSG00000129514	FOXA1
ENSG00000125798	FOXA2
ENSG00000171956	FOXB1
ENSG00000054598	FOXC1
ENSG00000176692	FOXC2
ENSG00000251493	FOXD1
ENSG00000186564	FOXD2
ENSG00000187140	FOXD3
ENSG00000137273	FOXF2
ENSG00000176165	FOXG1
ENSG00000160973	FOXH1
ENSG00000168269	FOXI1
ENSG00000065970	FOXJ2
ENSG00000198815	FOXJ3
ENSG00000164916	FOXK1
ENSG00000176678	FOXL1
ENSG00000150907	FOXO1
ENSG00000118689	FOXO3
ENSG00000184481	FOXO4
ENSG00000204060	FOXO6
ENSG00000114861	FOXP1
ENSG00000128573	FOXP2
ENSG00000049768	FOXP3
ENSG00000164379	FOXQ1
ENSG00000154727	GABPA
ENSG00000102145	GATA1
ENSG00000179348	GATA2
ENSG00000107485	GATA3
ENSG00000136574	GATA4
ENSG00000285109	GATA4
ENSG00000130700	GATA5
ENSG00000164900	GBX1
ENSG00000168505	GBX2
ENSG00000137270	GCM1
ENSG00000124827	GCM2
ENSG00000162676	GFI1
ENSG00000165702	GFI1B
ENSG00000074047	GLI2
ENSG00000174332	GLIS1
ENSG00000274636	GLIS2
ENSG00000126603	GLIS2
ENSG00000107249	GLIS3
ENSG00000162419	GMEB1
ENSG00000101216	GMEB2
ENSG00000134317	GRHL1
ENSG00000133937	GSC
ENSG00000063515	GSC2
ENSG00000169840	GSX1
ENSG00000180613	GSX2
ENSG00000114315	HES1
ENSG00000069812	HES2
ENSG00000273529	HES5
ENSG00000197921	HES5
ENSG00000179111	HES7
ENSG00000163666	HESX1
ENSG00000164683	HEY1
ENSG00000135547	HEY2
ENSG00000177374	HIC1
ENSG00000169635	HIC2
ENSG00000172273	HINFP
ENSG00000108924	HLF
ENSG00000071794	HLTF
ENSG00000147421	HMBOX1
ENSG00000215612	HMX1
ENSG00000188816	HMX2
ENSG00000188620	HMX3
ENSG00000135100	HNF1A
ENSG00000276194	HNF1B
ENSG00000275410	HNF1B
ENSG00000101076	HNF4A
ENSG00000164749	HNF4G
ENSG00000253293	HOXA10
ENSG00000005073	HOXA11
ENSG00000106031	HOXA13
ENSG00000105996	HOXA2
ENSG00000106004	HOXA5
ENSG00000078399	HOXA9
ENSG00000159184	HOXB13
ENSG00000173917	HOXB2
ENSG00000120093	HOXB3
ENSG00000120075	HOXB5
ENSG00000180818	HOXC10
ENSG00000123388	HOXC11
ENSG00000123407	HOXC12
ENSG00000123364	HOXC13
ENSG00000180806	HOXC9
ENSG00000128713	HOXD11
ENSG00000170178	HOXD12
ENSG00000128714	HOXD13
ENSG00000128652	HOXD3
ENSG00000175879	HOXD8
ENSG00000128709	HOXD9
ENSG00000185122	HSF1
ENSG00000284774	HSF1
ENSG00000025156	HSF2
ENSG00000102878	HSF4
ENSG00000115738	ID2
ENSG00000172201	ID4
ENSG00000173404	INSM1
ENSG00000125347	IRF1
ENSG00000168310	IRF2
ENSG00000185507	IRF7
ENSG00000276561	IRF7
ENSG00000140968	IRF8
ENSG00000213928	IRF9
ENSG00000285048	IRF9
ENSG00000159556	ISL2
ENSG00000175329	ISX
ENSG00000140044	JDP2
ENSG00000177606	JUN
ENSG00000171223	JUNB
ENSG00000130522	JUND
ENSG00000105610	KLF1
ENSG00000118922	KLF12
ENSG00000169926	KLF13
ENSG00000275746	KLF13
ENSG00000266265	KLF14
ENSG00000129911	KLF16
ENSG00000136826	KLF4
ENSG00000102554	KLF5
ENSG00000138136	LBX1
ENSG00000179528	LBX2
ENSG00000138795	LEF1
ENSG00000106689	LHX2
ENSG00000107187	LHX3
ENSG00000121454	LHX4
ENSG00000106852	LHX6
ENSG00000162624	LHX8
ENSG00000143355	LHX9
ENSG00000189308	LIN54
ENSG00000162761	LMX1A
ENSG00000136944	LMX1B
ENSG00000204103	MAFB
ENSG00000185022	MAFF
ENSG00000197063	MAFG
ENSG00000198517	MAFK
ENSG00000125952	MAX
ENSG00000085276	MECOM
ENSG00000068305	MEF2A
ENSG00000213999	MEF2B
ENSG00000081189	MEF2C
ENSG00000116604	MEF2D
ENSG00000143995	MEIS1
ENSG00000134138	MEIS2
ENSG00000105419	MEIS3
ENSG00000005102	MEOX1
ENSG00000106511	MEOX2
ENSG00000174197	MGA
ENSG00000187098	MITF
ENSG00000185155	MIXL1
ENSG00000108788	MLX
ENSG00000175727	MLXIP
ENSG00000281178	MLXIP
ENSG00000009950	MLXIPL
ENSG00000070444	MNT
ENSG00000130675	MNX1
ENSG00000178860	MSC
ENSG00000163132	MSX1
ENSG00000120149	MSX2
ENSG00000188786	MTF1
ENSG00000118513	MYB
ENSG00000185697	MYBL1
ENSG00000101057	MYBL2
ENSG00000136997	MYC
ENSG00000134323	MYCN
ENSG00000111046	MYF6
ENSG00000129152	MYOD1
ENSG00000122180	MYOG
ENSG00000099326	MZF1
ENSG00000171532	NEUROD2
ENSG00000181965	NEUROG1
ENSG00000178403	NEUROG2
ENSG00000102908	NFAT5
ENSG00000131196	NFATC1
ENSG00000101096	NFATC2
ENSG00000072736	NFATC3
ENSG00000123405	NFE2
ENSG00000116044	NFE2L2
ENSG00000162599	NFIA
ENSG00000141905	NFIC
ENSG00000165030	NFIL3
ENSG00000008441	NFIX
ENSG00000109320	NFKB1
ENSG00000077150	NFKB2
ENSG00000001167	NFYA
ENSG00000120837	NFYB
ENSG00000171786	NHLH1
ENSG00000119919	NKX2-3
ENSG00000183072	NKX2-5
ENSG00000136327	NKX2-8
ENSG00000167034	NKX3-1
ENSG00000109705	NKX3-2
ENSG00000163623	NKX6-1
ENSG00000148826	NKX6-2
ENSG00000106410	NOBOX
ENSG00000285328	NOBOX
ENSG00000214513	NOTO
ENSG00000170485	NPAS2
ENSG00000177463	NR2C2
ENSG00000112333	NR2E1
ENSG00000278570	NR2E3
ENSG00000175745	NR2F1
ENSG00000160113	NR2F6
ENSG00000113580	NR3C1
ENSG00000151623	NR3C2
ENSG00000153234	NR4A2
ENSG00000116833	NR5A2
ENSG00000106459	NRF1
ENSG00000129535	NRL
ENSG00000285493	NRL
ENSG00000184221	OLIG1
ENSG00000205927	OLIG2
ENSG00000177468	OLIG3
ENSG00000169856	ONECUT1
ENSG00000119547	ONECUT2
ENSG00000205922	ONECUT3
ENSG00000115507	OTX1
ENSG00000165588	OTX2
ENSG00000125813	PAX1
ENSG00000075891	PAX2
ENSG00000135903	PAX3
ENSG00000106331	PAX4
ENSG00000196092	PAX5
ENSG00000007372	PAX6
ENSG00000009709	PAX7
ENSG00000198807	PAX9
ENSG00000185630	PBX1
ENSG00000139515	PDX1
ENSG00000165462	PHOX2A
ENSG00000109132	PHOX2B
ENSG00000069011	PITX1
ENSG00000107859	PITX3
ENSG00000160199	PKNOX1
ENSG00000165495	PKNOX2
ENSG00000181690	PLAG1
ENSG00000064835	POU1F1
ENSG00000143190	POU2F1
ENSG00000028277	POU2F2
ENSG00000137709	POU2F3
ENSG00000185668	POU3F1
ENSG00000184486	POU3F2
ENSG00000198914	POU3F3
ENSG00000196767	POU3F4
ENSG00000152192	POU4F1
ENSG00000151615	POU4F2
ENSG00000091010	POU4F3
ENSG00000212993	POU5F1B
ENSG00000184271	POU6F1
ENSG00000106536	POU6F2
ENSG00000132170	PPARG
ENSG00000057657	PRDM1
ENSG00000175325	PROP1
ENSG00000280635	PROP1
ENSG00000274382	PROP1
ENSG00000117707	PROX1
ENSG00000116132	PRRX1
ENSG00000167157	PRRX2
ENSG00000131759	RARA
ENSG00000077092	RARB
ENSG00000172819	RARG
ENSG00000134438	RAX
ENSG00000173976	RAX2
ENSG00000162924	REL
ENSG00000173039	RELA
ENSG00000084093	REST
ENSG00000132005	RFX1
ENSG00000087903	RFX2
ENSG00000080298	RFX3
ENSG00000111783	RFX4
ENSG00000143390	RFX5
ENSG00000101883	RHOXF1
ENSG00000069667	RORA
ENSG00000124782	RREB1
ENSG00000159216	RUNX1
ENSG00000124813	RUNX2
ENSG00000020633	RUNX3
ENSG00000186350	RXRA
ENSG00000235712	RXRB
ENSG00000228333	RXRB
ENSG00000231321	RXRB
ENSG00000206289	RXRB
ENSG00000227322	RXRB
ENSG00000204231	RXRB
ENSG00000143171	RXRG
ENSG00000261678	SCRT1
ENSG00000284923	SCRT1
ENSG00000215397	SCRT2
ENSG00000185960	SHOX
ENSG00000168779	SHOX2
ENSG00000138083	SIX3
ENSG00000166949	SMAD3
ENSG00000019549	SNAI2
ENSG00000182968	SOX1
ENSG00000100146	SOX10
ENSG00000176887	SOX11
ENSG00000164736	SOX17
ENSG00000181449	SOX2
ENSG00000125285	SOX21
ENSG00000134595	SOX3
ENSG00000124766	SOX4
ENSG00000134532	SOX5
ENSG00000110693	SOX6
ENSG00000005513	SOX8
ENSG00000125398	SOX9
ENSG00000185591	SP1
ENSG00000167182	SP2
ENSG00000172845	SP3
ENSG00000105866	SP4
ENSG00000164651	SP8
ENSG00000124664	SPDEF
ENSG00000066336	SPI1
ENSG00000269404	SPIB
ENSG00000166211	SPIC
ENSG00000164299	SPZ1
ENSG00000072310	SREBF1
ENSG00000198911	SREBF2
ENSG00000112658	SRF
ENSG00000184895	SRY
ENSG00000115415	STAT1
ENSG00000168610	STAT3
ENSG00000138378	STAT4
ENSG00000166888	STAT6
ENSG00000112592	TBP
ENSG00000136535	TBR1
ENSG00000184058	TBX1
ENSG00000092607	TBX15
ENSG00000143178	TBX19
ENSG00000121068	TBX2
ENSG00000164532	TBX20
ENSG00000073861	TBX21
ENSG00000121075	TBX4
ENSG00000089225	TBX5
ENSG00000140262	TCF12
ENSG00000118526	TCF21
ENSG00000071564	TCF3
ENSG00000196628	TCF4
ENSG00000081059	TCF7
ENSG00000148737	TCF7L2
ENSG00000101190	TCFL5
ENSG00000187079	TEAD1
ENSG00000007866	TEAD3
ENSG00000197905	TEAD4
ENSG00000167074	TEF
ENSG00000137203	TFAP2A
ENSG00000008196	TFAP2B
ENSG00000087510	TFAP2C
ENSG00000090447	TFAP4
ENSG00000135457	TFCP2
ENSG00000068323	TFE3
ENSG00000112561	TFEB
ENSG00000105967	TFEC
ENSG00000177426	TGIF1
ENSG00000118707	TGIF2
ENSG00000131931	THAP1
ENSG00000141510	TP53
ENSG00000073282	TP63
ENSG00000078900	TP73
ENSG00000233608	TWIST2
ENSG00000164853	UNCX
ENSG00000158773	USF1
ENSG00000105698	USF2
ENSG00000148704	VAX1
ENSG00000116035	VAX2
ENSG00000111424	VDR
ENSG00000151650	VENTX
ENSG00000100987	VSX1
ENSG00000119614	VSX2
ENSG00000100219	XBP1
ENSG00000100811	YY1
ENSG00000230797	YY2
ENSG00000214717	ZBED1
ENSG00000179456	ZBTB18
ENSG00000177485	ZBTB33
ENSG00000178951	ZBTB7A
ENSG00000160685	ZBTB7B
ENSG00000184828	ZBTB7C
ENSG00000148516	ZEB1
ENSG00000005889	ZFX
ENSG00000152977	ZIC1
ENSG00000156925	ZIC3
ENSG00000174963	ZIC4
ENSG00000166478	ZNF143
ENSG00000006194	ZNF263
ENSG00000177932	ZNF354C
ENSG00000119725	ZNF410
ENSG00000102935	ZNF423
ENSG00000139651	ZNF740
